1746710502.464641 server started (84864): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1746710502.464675 on Darwin 24.4.0 Darwin Kernel Version 24.4.0: Fri Apr 11 18:28:23 PDT 2025; root:xnu-11417.101.15~117/RELEASE_X86_64
1746710502.464689 using libevent 2.1.12-stable select
1746710502.464700 using utf8proc 2.10.0
1746710502.464707 using ncurses 6.5 20240427
1746710502.465318 input_key_build: 0x10e003 (PasteStart) is \033[200~
1746710502.465334 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1746710502.465345 input_key_build: 0x10e195 (F1) is \033OP
1746710502.465351 input_key_build: 0x10e196 (F2) is \033OQ
1746710502.465358 input_key_build: 0x10e197 (F3) is \033OR
1746710502.465365 input_key_build: 0x10e198 (F4) is \033OS
1746710502.465373 input_key_build: 0x10e199 (F5) is \033[15~
1746710502.465379 input_key_build: 0x10e19a (F6) is \033[17~
1746710502.465385 input_key_build: 0x10e19b (F7) is \033[18~
1746710502.465391 input_key_build: 0x10e19c (F8) is \033[19~
1746710502.465396 input_key_build: 0x10e19d (F9) is \033[20~
1746710502.465403 input_key_build: 0x10e19e (F10) is \033[21~
1746710502.465409 input_key_build: 0x10e19f (F11) is \033[23~
1746710502.465415 input_key_build: 0x10e1a0 (F12) is \033[24~
1746710502.465421 input_key_build: 0x10e1a1 (IC) is \033[2~
1746710502.465427 input_key_build: 0x10e1a2 (DC) is \033[3~
1746710502.465435 input_key_build: 0x10e1a3 (Home) is \033[1~
1746710502.465442 input_key_build: 0x10e1a4 (End) is \033[4~
1746710502.465448 input_key_build: 0x10e1a5 (NPage) is \033[6~
1746710502.465454 input_key_build: 0x10e1a6 (PPage) is \033[5~
1746710502.465459 input_key_build: 0x10e1a7 (BTab) is \033[Z
1746710502.465467 input_key_build: 0x10e1a8 (Up) is \033[A
1746710502.465474 input_key_build: 0x10e1a9 (Down) is \033[B
1746710502.465480 input_key_build: 0x10e1aa (Left) is \033[D
1746710502.465486 input_key_build: 0x10e1ab (Right) is \033[C
1746710502.465492 input_key_build: 0x10e1ac (KP/) is /
1746710502.465502 input_key_build: 0x10e1ad (KP*) is *
1746710502.465510 input_key_build: 0x10e1ae (KP-) is -
1746710502.465517 input_key_build: 0x10e1af (KP7) is 7
1746710502.465523 input_key_build: 0x10e1b0 (KP8) is 8
1746710502.465529 input_key_build: 0x10e1b1 (KP9) is 9
1746710502.465535 input_key_build: 0x10e1b2 (KP+) is +
1746710502.465540 input_key_build: 0x10e1b3 (KP4) is 4
1746710502.465546 input_key_build: 0x10e1b4 (KP5) is 5
1746710502.465552 input_key_build: 0x10e1b5 (KP6) is 6
1746710502.465558 input_key_build: 0x10e1b6 (KP1) is 1
1746710502.465564 input_key_build: 0x10e1b7 (KP2) is 2
1746710502.465572 input_key_build: 0x10e1b8 (KP3) is 3
1746710502.465578 input_key_build: 0x10e1b9 (KPEnter) is \n
1746710502.465584 input_key_build: 0x10e1ba (KP0) is 0
1746710502.465590 input_key_build: 0x10e1bb (KP.) is .
1746710502.465596 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1746710502.465602 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1746710502.465608 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1746710502.465614 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1746710502.465619 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1746710502.465625 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1746710502.465631 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1746710502.465639 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1746710502.465646 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1746710502.465651 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1746710502.465657 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1746710502.465663 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1746710502.465669 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1746710502.465675 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1746710502.465680 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1746710502.465686 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1746710502.465753 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1746710502.465760 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1746710502.465766 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1746710502.465782 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1746710502.465787 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1746710502.465791 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1746710502.465795 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1746710502.465799 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1746710502.465803 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1746710502.465807 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1746710502.465811 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1746710502.465816 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1746710502.465820 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1746710502.465824 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1746710502.465828 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1746710502.465832 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1746710502.465836 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1746710502.465842 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1746710502.465847 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1746710502.465851 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1746710502.465856 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1746710502.465860 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1746710502.465864 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1746710502.465868 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1746710502.465872 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1746710502.465876 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1746710502.465880 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1746710502.465885 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1746710502.465889 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1746710502.465893 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1746710502.465897 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1746710502.465901 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1746710502.465905 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1746710502.465911 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1746710502.465916 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1746710502.465920 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1746710502.465924 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1746710502.465928 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
